________Date,________Time,______Sample,___CPU_tempR,_sense_TempR,__sense_HumR,_sense_PresR,___DHT_TempR,____DHT_HumR,__temp_diffR,___hum_diffR,temp_factorR,_hum_factorR
210613,163129,1,50.46,34.84,52.78,1021.53,26.8,68.2,8.04,-15.42,1.94,0.15
210613,163209,2,49.93,34.92,52.8,1021.53,26.8,68.6,8.12,-15.8,1.85,0.18
210613,163249,3,49.93,34.97,52.59,1021.61,26.9,69.3,8.07,-16.71,1.85,0.16
210613,163328,4,49.93,34.83,52.87,1021.59,26.9,68.7,7.93,-15.83,1.9,0.19
210613,163408,5,49.93,34.97,52.8,1021.59,26.9,68.4,8.07,-15.6,1.85,0.18
210613,163448,6,50.46,34.79,52.76,1021.58,26.9,68.3,7.89,-15.54,1.99,0.15
210613,163527,7,49.93,34.83,51.72,1021.56,26.9,68.2,7.93,-16.48,1.9,0.11
210613,163607,8,49.93,34.88,52.62,1021.58,27.0,68.3,7.88,-15.68,1.91,0.17
210613,163647,9,49.93,34.86,52.77,1021.57,27.0,68.3,7.86,-15.53,1.92,0.18
210613,163726,10,49.39,34.95,52.88,1021.53,27.0,68.3,7.95,-15.42,1.82,0.23
210613,163806,11,49.93,34.92,52.68,1021.49,27.0,68.4,7.92,-15.72,1.9,0.17
210613,163846,12,49.93,35.01,52.53,1021.49,27.0,68.3,8.01,-15.77,1.86,0.16
210613,163925,13,50.46,34.97,52.86,1021.53,27.0,68.2,7.97,-15.34,1.94,0.16
210613,164005,14,49.93,34.92,52.83,1021.52,27.0,68.2,7.92,-15.37,1.9,0.19
210613,164044,15,49.93,34.79,52.91,1021.45,27.0,68.3,7.79,-15.39,1.94,0.19
210613,164124,16,49.39,34.86,52.58,1021.46,27.0,68.2,7.86,-15.62,1.85,0.2
210613,164323,17,81.67,36.77,50.28,1021.44,27.0,68.2,9.77,-17.92,4.6,-1.75
210613,164442,18,82.74,37.86,48.54,1021.41,27.0,68.1,10.86,-19.56,4.13,-1.75
210613,164522,19,82.74,38.58,47.48,1021.39,27.0,68.3,11.58,-20.82,3.81,-1.69
210613,164602,20,82.74,39.13,46.66,1021.36,27.1,68.1,12.03,-21.44,3.63,-1.68
210613,164641,21,82.74,39.53,45.54,1021.35,27.1,67.8,12.43,-22.26,3.48,-1.67
210613,164721,22,83.28,39.82,44.77,1021.35,27.1,68.1,12.72,-23.33,3.42,-1.65
210613,164800,23,82.74,39.78,44.73,1021.35,27.1,67.9,12.68,-23.17,3.39,-1.64
210613,164840,24,83.28,40.34,44.09,1021.36,27.1,68.8,13.24,-24.71,3.24,-1.59
210613,164920,25,70.91,40.18,44.07,1021.35,27.1,68.1,13.08,-24.03,2.35,-1.12
210613,164959,26,61.22,40.22,43.86,1021.41,27.1,68.0,13.12,-24.14,1.6,-0.72
210613,165119,27,56.92,39.38,44.62,1021.39,27.1,68.1,12.28,-23.48,1.43,-0.52
210613,165158,28,56.38,39.04,45.27,1021.4,27.1,68.0,11.94,-22.73,1.45,-0.49
210613,165238,29,54.77,38.64,45.65,1021.42,27.1,68.1,11.54,-22.45,1.4,-0.41
210613,165318,30,54.77,38.02,45.08,1021.41,27.2,68.2,10.82,-23.12,1.55,-0.42
210613,165357,31,53.69,37.88,46.49,1021.42,27.2,68.2,10.68,-21.71,1.48,-0.33
210613,165437,32,53.69,37.64,47.1,1021.43,27.2,68.0,10.44,-20.9,1.54,-0.32
210613,165517,33,52.62,37.29,47.56,1021.42,27.2,68.2,10.09,-20.64,1.52,-0.25
210613,165556,34,52.62,37.04,48.38,1021.44,27.2,68.0,9.84,-19.62,1.58,-0.22
210613,165636,35,52.62,36.91,48.49,1021.4,27.2,68.1,9.71,-19.61,1.62,-0.21
210613,165716,36,52.08,36.7,48.92,1021.38,27.2,68.2,9.5,-19.28,1.62,-0.16
210613,165755,37,52.08,36.4,49.02,1021.4,27.2,68.2,9.2,-19.18,1.7,-0.16
210613,165835,38,51.54,36.37,49.67,1021.41,27.2,68.2,9.17,-18.53,1.65,-0.1
210613,170153,39,82.74,38.31,47.28,1021.41,27.2,68.2,11.11,-20.92,4.0,-1.7
210613,170233,40,82.74,38.8,46.72,1021.43,27.2,68.3,11.6,-21.58,3.79,-1.67
210613,170312,41,83.28,39.2,46.29,1021.4,27.2,68.1,12.0,-21.81,3.67,-1.7
210613,170352,42,82.74,39.76,44.96,1021.39,27.2,68.2,12.56,-23.24,3.42,-1.63
210613,170432,43,83.28,40.09,44.7,1021.38,27.2,69.0,12.89,-24.3,3.35,-1.59
210613,170511,44,83.28,40.29,44.39,1021.33,27.2,68.1,13.09,-23.71,3.28,-1.64
210613,170551,45,83.28,40.71,43.57,1021.35,27.3,67.8,13.41,-24.23,3.17,-1.64
210613,170710,46,78.98,40.82,42.93,1021.3,27.3,68.3,13.52,-25.37,2.82,-1.42
210613,170750,47,63.38,40.83,42.98,1021.28,27.3,68.2,13.53,-25.22,1.67,-0.81
210613,170829,48,60.15,40.51,43.76,1021.33,27.3,68.2,13.21,-24.44,1.49,-0.67
210613,170909,49,58.0,40.05,43.42,1021.33,27.3,68.2,12.75,-24.78,1.41,-0.59
210613,171028,50,56.38,39.16,44.63,1021.3,27.3,68.2,11.86,-23.57,1.45,-0.5
210613,171108,51,55.31,38.78,45.63,1021.35,27.3,68.2,11.48,-22.57,1.44,-0.43
210613,171148,52,54.77,38.46,46.05,1021.29,27.3,68.2,11.16,-22.15,1.46,-0.39
210613,171227,53,54.23,38.24,46.55,1021.29,27.3,68.2,10.94,-21.65,1.46,-0.35
210613,171307,54,53.69,37.8,46.7,1021.31,27.3,68.3,10.5,-21.6,1.51,-0.32
210613,171347,55,53.15,37.46,47.75,1021.35,27.3,68.3,10.16,-20.55,1.54,-0.26
210613,171426,56,53.69,37.04,48.27,1021.27,27.3,68.3,9.74,-20.03,1.71,-0.27
210613,171506,57,53.15,36.88,48.88,1021.23,27.3,68.3,9.58,-19.42,1.7,-0.22
210613,171625,58,52.08,36.46,49.22,1021.28,27.3,68.3,9.16,-19.08,1.71,-0.15
210613,171705,59,52.08,36.48,49.64,1021.29,27.3,68.3,9.18,-18.66,1.7,-0.13
210613,171745,60,52.08,36.31,50.1,1021.28,27.4,68.4,8.91,-18.3,1.77,-0.11
210613,171824,61,51.54,36.3,49.77,1021.29,27.3,68.2,9.0,-18.43,1.69,-0.1
210613,171904,62,51.54,36.2,50.05,1021.29,27.3,68.2,8.9,-18.15,1.72,-0.08
210613,171944,63,51.54,36.2,50.19,1021.28,27.4,68.2,8.8,-18.01,1.74,-0.07
