________Date,________Time,______Sample,___CPU_tempR,_sense_TempR,__sense_HumR,_sense_PresR,___DHT_TempR,____DHT_HumR,__temp_diffR,___hum_diffR,temp_factorR,_hum_factorR
210613,100240,1,46.16,31.92,54.77,1021.68,26.0,62.3,5.92,-7.53,2.41,1.14
210613,100320,2,47.24,32.01,54.77,1021.68,25.9,62.8,6.11,-8.03,2.49,0.94
210613,100359,3,46.7,32.16,53.8,1021.66,26.0,62.8,6.16,-9.0,2.36,0.79
210613,100439,4,47.24,32.3,53.68,1021.62,26.0,62.8,6.3,-9.12,2.37,0.71
210613,100558,5,47.24,32.63,53.53,1021.65,26.0,63.1,6.63,-9.57,2.2,0.66
210613,100638,6,47.24,32.65,53.59,1021.64,26.0,63.2,6.65,-9.61,2.19,0.66
210613,100718,7,47.24,32.76,53.27,1021.62,26.0,63.3,6.76,-10.03,2.14,0.6
210613,100757,8,48.31,32.79,52.81,1021.64,26.0,63.3,6.79,-10.49,2.29,0.43
210613,100837,9,47.24,32.92,53.03,1021.61,26.0,63.3,6.92,-10.27,2.07,0.56
210613,100917,10,47.24,32.88,52.33,1021.65,26.0,63.1,6.88,-10.77,2.09,0.47
210613,100956,11,47.77,32.99,52.46,1021.61,26.0,63.2,6.99,-10.74,2.11,0.44
210613,101036,12,48.31,33.05,52.23,1021.6,26.0,63.3,7.05,-11.07,2.16,0.35
210613,101116,13,47.77,33.01,52.38,1021.58,26.0,63.5,7.01,-11.12,2.11,0.41
210613,101155,14,47.77,33.05,52.07,1021.6,26.0,63.5,7.05,-11.43,2.09,0.38
210613,101235,15,47.77,33.17,51.98,1021.62,26.1,63.6,7.07,-11.62,2.07,0.36
210613,101315,16,47.77,33.23,52.14,1021.62,26.1,63.6,7.13,-11.46,2.04,0.38
210613,101354,17,47.77,33.26,52.58,1021.69,26.1,63.7,7.16,-11.12,2.03,0.43
210613,101434,18,47.77,33.28,51.99,1021.69,26.1,63.6,7.18,-11.61,2.02,0.36
210613,101514,19,48.31,33.39,51.88,1021.67,26.1,63.6,7.29,-11.72,2.05,0.3
210613,101553,20,48.31,33.28,51.6,1021.66,26.1,63.4,7.18,-11.8,2.09,0.28
210613,101633,21,47.77,33.28,51.27,1021.66,26.1,63.5,7.18,-12.23,2.02,0.29
210613,101752,22,48.31,33.34,51.49,1021.63,26.1,63.4,7.24,-11.91,2.07,0.27
210613,101832,23,48.31,33.34,51.85,1021.64,26.2,63.3,7.14,-11.45,2.1,0.31
210613,101912,24,48.31,33.35,51.27,1021.63,26.2,63.4,7.15,-12.13,2.09,0.24
210613,101951,25,48.31,33.43,51.25,1021.62,26.2,63.3,7.23,-12.05,2.06,0.24
210613,102031,26,48.85,33.45,51.54,1021.62,26.2,63.3,7.25,-11.76,2.12,0.23
210613,102111,27,48.31,33.59,51.03,1021.63,26.2,63.2,7.39,-12.17,1.99,0.22
210613,102150,28,48.31,33.5,51.47,1021.6,26.2,63.3,7.3,-11.83,2.03,0.27
210613,102230,29,47.77,33.48,51.06,1021.64,26.2,63.5,7.28,-12.44,1.96,0.26
210613,102310,30,48.31,33.46,51.44,1021.54,26.2,63.4,7.26,-11.96,2.05,0.26
210613,102349,31,48.85,33.48,51.54,1021.55,26.2,63.8,7.28,-12.26,2.11,0.22
210613,102429,32,48.31,33.32,51.55,1021.52,26.2,63.6,7.12,-12.05,2.11,0.27
210613,102509,33,48.31,33.37,51.86,1021.55,26.2,63.6,7.17,-11.74,2.08,0.3
210613,102548,34,48.31,33.5,51.34,1021.61,26.3,63.5,7.2,-12.16,2.06,0.25
210613,102628,35,48.31,33.66,51.02,1021.61,26.2,63.3,7.46,-12.28,1.96,0.22
210613,102708,36,48.31,33.68,50.92,1021.59,26.3,63.4,7.38,-12.48,1.98,0.21
210613,102747,37,48.31,33.54,51.39,1021.6,26.3,63.4,7.24,-12.01,2.04,0.26
210613,102827,38,48.85,33.55,51.33,1021.59,26.2,63.3,7.35,-11.97,2.08,0.21
210613,102907,39,48.31,33.57,50.94,1021.63,26.2,63.4,7.37,-12.46,2.0,0.21
210613,102946,40,48.85,33.55,50.96,1021.62,26.2,63.5,7.35,-12.54,2.08,0.17
210613,103026,41,48.31,33.57,50.89,1021.62,26.2,63.5,7.37,-12.61,2.0,0.2
210613,103106,42,48.85,33.75,50.9,1021.64,26.2,63.5,7.55,-12.6,2.0,0.16
210613,103225,43,48.31,33.61,50.52,1021.62,26.1,63.3,7.51,-12.78,1.96,0.17
210613,103305,44,48.85,33.7,50.91,1021.67,26.2,63.5,7.5,-12.59,2.02,0.16
210613,103344,45,49.39,33.77,51.09,1021.67,26.2,64.1,7.57,-13.01,2.06,0.13
210613,103424,46,48.31,33.68,51.49,1021.64,26.1,63.9,7.58,-12.41,1.93,0.26
210613,103504,47,48.85,33.77,51.06,1021.66,26.2,64.8,7.57,-13.74,1.99,0.16
210613,103543,48,48.31,33.81,50.88,1021.6,26.2,64.5,7.61,-13.62,1.91,0.19
210613,103623,49,48.31,33.79,51.16,1021.62,26.2,64.5,7.59,-13.34,1.91,0.21
210613,103703,50,49.39,33.77,51.11,1021.64,26.2,64.3,7.57,-13.19,2.06,0.13
210613,103742,51,49.39,33.81,51.25,1021.68,26.1,64.0,7.71,-12.75,2.02,0.15
210613,103822,52,48.31,33.72,50.6,1021.65,26.2,64.1,7.52,-13.5,1.94,0.17
210613,103902,53,48.31,33.84,50.47,1021.65,26.1,64.0,7.74,-13.53,1.87,0.16
210613,103941,54,48.31,33.86,50.47,1021.66,26.1,63.9,7.76,-13.43,1.86,0.16
210613,104021,55,49.39,33.92,50.44,1021.68,26.1,63.9,7.82,-13.46,1.98,0.08
210613,104101,56,48.31,33.88,50.34,1021.64,26.1,63.9,7.78,-13.56,1.85,0.15
210613,104140,57,48.85,33.94,50.61,1021.67,26.1,63.9,7.84,-13.29,1.9,0.13
210613,104220,58,48.85,33.99,50.57,1021.68,26.1,63.9,7.89,-13.33,1.88,0.13
210613,104300,59,48.85,34.03,50.42,1021.65,26.1,63.9,7.93,-13.48,1.87,0.12
210613,104339,60,49.39,33.97,50.09,1021.65,26.1,63.9,7.87,-13.81,1.96,0.05
210613,104459,61,49.39,33.97,50.3,1021.65,26.2,64.1,7.77,-13.8,1.98,0.07
210613,104538,62,49.39,34.01,50.2,1021.63,26.1,64.1,7.91,-13.9,1.94,0.06
210613,104618,63,49.39,34.08,50.59,1021.62,26.1,64.1,7.98,-13.51,1.92,0.09
210613,104658,64,48.85,33.95,50.6,1021.61,26.1,64.3,7.85,-13.7,1.9,0.13
210613,104737,65,48.31,33.99,50.53,1021.6,26.1,64.3,7.89,-13.77,1.81,0.16
210613,104817,66,48.31,33.97,50.58,1021.6,26.1,64.4,7.87,-13.82,1.82,0.16
210613,104857,67,48.85,34.03,50.52,1021.59,26.1,64.4,7.93,-13.88,1.87,0.12
210613,104936,68,48.31,33.92,50.73,1021.55,26.1,64.4,7.82,-13.67,1.84,0.18
210613,105016,69,49.39,34.01,50.69,1021.53,26.1,64.6,7.91,-13.91,1.94,0.09
210613,105056,70,49.39,33.99,50.64,1021.54,26.1,64.6,7.89,-13.96,1.95,0.09
210613,105135,71,49.39,33.94,50.79,1021.57,26.1,64.6,7.84,-13.81,1.97,0.1
210613,105215,72,48.85,33.94,50.68,1021.55,26.1,64.6,7.84,-13.92,1.9,0.13
