2020-04-15 08:03:10 - INFO: ___Sample,_lat_deg,_lon_deg,_CPU_Temp,_____Temp,____Press,____Humid,_____Roll,____Pitch,______Yaw,_____MagX,_____MagY,_____MagZ,_____AccX,_____AccY,_____AccZ,____GyroX,____GyroY,____GyroZ
2020-04-15 08:03:10 - INFO: 1,41.6948,19.6437,31.48,26.31,992.49,42.41,4.6839,22.7576,35.3634,7.7455,-2.9322,8.1255,-0.0015,0.0056,0.0129,0.2328,0.2048,0.0764
2020-04-15 08:03:20 - INFO: 2,42.052,20.3255,30.4,26.24,992.49,42.64,359.6316,123.3923,105.2638,16.2975,-5.9355,15.6709,-0.0012,0.0041,0.0144,0.2365,0.2082,0.0779
2020-04-15 08:03:30 - INFO: 3,42.4045,21.0155,30.4,26.22,992.51,42.15,295.3728,222.5828,87.8142,19.4286,-7.1667,19.0514,-0.001,0.0058,0.0141,0.2341,0.2073,0.0736
2020-04-15 08:03:40 - INFO: 4,42.7524,21.7138,30.4,26.2,992.49,42.7,358.0282,12.1903,28.2225,20.8964,-7.8157,20.9998,-0.001,0.0053,0.0158,0.231,0.2079,0.077
2020-04-15 08:03:50 - INFO: 5,43.0954,22.4203,29.32,26.24,992.46,42.41,6.4821,114.0767,98.3994,21.6897,-8.0337,21.1745,-0.001,0.0061,0.0149,0.2344,0.2067,0.0779
2020-04-15 08:04:01 - INFO: 6,43.4335,23.1353,29.86,26.33,992.5,42.76,300.2633,202.9407,99.3451,22.0104,-8.0868,21.3368,-0.0012,0.0061,0.0156,0.2347,0.2024,0.077
2020-04-15 08:04:11 - INFO: 7,43.7996,23.9315,30.94,26.22,992.54,42.28,351.1105,5.115,24.6746,22.6878,-7.8782,21.7005,-0.0005,0.0058,0.0122,0.2325,0.2042,0.076
2020-04-15 08:04:21 - INFO: 8,44.1269,24.6642,30.4,26.24,992.49,43.0,10.4088,106.3449,93.2222,22.8439,-7.7909,22.4375,-0.0017,0.0056,0.0139,0.2319,0.2052,0.0785
2020-04-15 08:04:31 - INFO: 9,44.449,25.4056,30.4,26.26,992.48,42.76,304.6206,190.418,106.5839,23.1234,-7.5246,22.5698,-0.0015,0.0068,0.0139,0.2338,0.2045,0.0782
2020-04-15 08:04:41 - INFO: 10,44.7656,26.1556,30.4,26.2,992.47,42.94,346.5001,359.2904,22.8067,23.5451,-7.8619,22.2988,-0.0012,0.0049,0.0156,0.2319,0.2055,0.0745
2020-04-15 08:04:51 - INFO: 11,45.0767,26.9142,30.4,26.15,992.52,42.71,13.8622,99.9891,88.8494,24.1632,-7.8292,22.268,-0.0015,0.0073,0.0166,0.2347,0.2052,0.0782
