________Date,_________Time,______Sample,____Latitude,___Longitude,___Sun_angle,Day_or_night,______Sublat,_____Sublong,____CPU_temp,__Sense_temp,__Sense_Pres,___Sense_Hum,_______pitch,________roll,_________yaw,________magX,________magY,________magZ,________accX,________accY,________accZ,_______gyroX,_______gyroY,_______gyroZ
210419,174811,1,-45.477712,30.325951,-27.386497,Night,-45:28:39.8,30:19:33.4,37.39,31.95,982.26,31.39,2.3162,9.9276,294.6051,2.499,9.9409,16.1499,-0.0012,0.0046,0.018,0.2695,0.2354,0.08
210419,174822,2,-45.804051,31.180575,-27.930781,Night,-45:48:14.6,31:10:50.1,36.86,31.95,982.25,30.78,6.0646,127.7394,9.6506,5.0863,20.8367,33.1848,-0.0015,0.0039,0.0163,0.2683,0.2357,0.0773
210419,174833,3,-46.123219,32.04569,-28.473146,Night,-46:07:23.6,32:02:44.5,36.32,31.88,982.24,31.06,298.9372,244.7195,338.4973,6.3629,25.4535,39.951,-0.0012,0.0044,0.0173,0.2686,0.2342,0.0788
210419,174844,4,-46.435051,32.9213,-29.01353,Night,-46:26:06.2,32:55:16.7,36.32,31.9,982.25,31.04,11.0716,25.6617,304.3151,6.8583,27.2587,42.9246,-0.0002,0.0039,0.0188,0.2655,0.2323,0.0791
210419,174856,5,-46.766674,33.888455,-29.600698,Night,-46:46:00.0,33:53:18.4,36.32,31.97,982.26,31.02,354.0399,139.1787,16.1243,7.2649,28.2195,44.1317,-0.0015,0.0044,0.018,0.268,0.2333,0.077
210419,174907,6,-47.062633,34.785928,-30.136721,Night,-47:03:45.5,34:47:09.3,36.86,31.9,982.28,31.13,299.6723,276.5698,317.079,7.6837,28.8951,45.1061,-0.0015,0.0041,0.0166,0.2649,0.2348,0.0794
210419,174918,7,-47.350751,35.693793,-30.670555,Night,-47:21:02.7,35:41:37.7,36.86,31.88,982.27,31.01,17.7525,39.0568,312.5518,7.921,29.4085,45.0616,-0.001,0.0041,0.0163,0.2667,0.2342,0.0791
210419,174930,8,-47.655913,36.695956,-31.250332,Night,-47:39:21.3,36:41:45.4,36.32,31.81,982.26,30.8,345.6405,149.1465,19.8565,8.6559,29.1883,45.1574,-0.001,0.0041,0.019,0.2667,0.232,0.0794
210419,174941,9,-47.927089,37.625303,-31.779347,Night,-47:55:37.5,37:37:31.1,36.32,31.92,982.26,31.11,304.9156,296.6377,304.9774,8.6018,29.8682,45.4504,-0.0015,0.0041,0.0166,0.267,0.2323,0.0779
210419,174952,10,-48.189905,38.564764,-32.305944,Night,-48:11:23.7,38:33:53.2,36.32,31.92,982.26,31.39,21.1453,50.0103,320.7667,8.8937,29.9821,45.3762,-0.0012,0.0039,0.0173,0.2655,0.2336,0.0785
